#,,
int32,str,str
140,"TEXT_JOBXBM001_05490_CUSITH_000_114","嗷嗷！！"
141,"TEXT_JOBXBM001_05490_JYHUHTIA_000_115","哈哈，我已经感受到你的决心了！
你们一定会成为一对很好的搭档。"
142,"TEXT_JOBXBM001_05490_JYHUHTIA_000_116","事不宜迟，先与这个小家伙缔结契约吧。
“科纳格壶”这种便利的魔法道具就是这时候用的。"
143,"TEXT_JOBXBM001_05490_JYHUHTIA_000_117","放心吧，你马上就能和<Highlight>ObjectParameter(1)</Highlight>缔结契约了。"
144,"TEXT_JOBXBM001_05490_JYHUHTIA_000_118","对了，你先拿着这套驯兽师的装备吧。
等你做好准备开始驯兽师的修行了，就跟我说一声。
我会好好教你怎么唤出搭档。"
145,"TEXT_JOBXBM001_05490_LOOSEFROX_100_118","还有这个，驯兽师必不可少的“魔兽图鉴”哥布！
一定要好好利用啊哥布！"
146,"TEXT_JOBXBM001_05490_JYHUHTIA_000_119","那么，今后也请多关照了，<Highlight>ObjectParameter(1)</Highlight>！"
147,"TEXT_JOBXBM001_05490_SYSTEM_100_119","收到了<Sheet(Item,49805,0)/>。
想要与库西成为伙伴缔结契约，
必须在成为驯兽师的状态下使用此道具。"
148,"TEXT_JOBXBM001_05490_SYSTEM_110_119","转职为驯兽师，使用<Sheet(Item,49805,0)/>缔结契约后，
再与嘉·尤哈·提亚对话吧。"
149,"TEXT_JOBXBM001_05490_SYSTEM_000_120","学会了新特职！
通过装备领取的武器，
可以转换特职。"
150,"TEXT_JOBXBM001_05490_SYSTEM_000_121","转换特职后，
可以尝试保存套装！
这样当前的装备便会被记录下来，能实现立刻换装。"
151,"TEXT_JOBXBM001_05490_SYSTEM_000_122","套装的保存和变更装备一样，
可以在角色画面进行。"
