#,Unknown22,Unknown23,Unknown24,Unknown20,Unknown34,Unknown25,Unknown26,Unknown21,Unknown27,Unknown28,Unknown29,Unknown30,Unknown3,Unknown8,Unknown13,Unknown18,Unknown4,Unknown9,Unknown14,Unknown19,Unknown1,Unknown6,Unknown11,Unknown16,Unknown2,Unknown7,Unknown12,Unknown17,Unknown0,Unknown5,Unknown10,Unknown15,Unknown31,Unknown32,Unknown33
int32,byte,byte,byte,int32,bit&01,byte,byte,int32,byte,byte,byte,byte,bit&01,bit&01,bit&01,bit&01,bit&02,bit&02,bit&02,bit&02,byte,byte,byte,byte,byte,byte,byte,byte,int32,int32,int32,int32,byte,byte,byte
38,12,9,1,2,False,2,0,12,8,1,1,0,True,True,False,False,False,False,False,False,9,10,0,0,5,2,0,0,0,4,0,0,0,1,0
39,14,10,1,2,False,2,0,13,8,1,1,0,True,True,False,False,False,False,False,False,9,10,0,0,5,2,0,0,0,4,0,0,0,1,0
40,11,7,1,2,False,2,0,11,4,1,1,7,True,True,False,False,False,False,False,False,9,15,0,0,5,1,0,0,0,0,0,0,0,1,0
41,13,9,1,2,False,2,0,12,4,1,1,7,True,True,False,False,False,False,False,False,9,15,0,0,5,1,0,0,0,0,0,0,0,1,0
42,15,10,1,2,False,2,0,13,4,1,1,7,True,True,False,False,False,False,False,False,9,15,0,0,5,1,0,0,0,0,0,0,0,1,0
43,15,9,1,1,False,2,0,11,7,2,2,0,True,True,False,False,False,False,False,False,9,16,0,0,5,4,0,0,0,1,0,0,0,1,0
44,20,11,1,1,False,2,0,12,7,2,2,0,True,True,False,False,False,False,False,False,9,16,0,0,5,4,0,0,0,1,0,0,0,1,0
45,25,13,1,1,False,2,0,13,7,2,2,0,True,True,False,False,False,False,False,False,9,16,0,0,5,4,0,0,0,1,0,0,0,1,0
46,14,7,1,1,False,2,0,12,1,1,1,8,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0
47,17,9,1,1,False,2,0,13,1,1,1,8,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0
48,20,11,1,1,False,2,0,20,6,2,2,0,True,True,False,False,False,False,False,False,9,17,0,0,5,3,0,0,0,1,0,0,0,1,0
49,25,13,1,1,False,2,0,25,6,2,2,0,True,True,False,False,False,False,False,False,9,17,0,0,5,3,0,0,0,1,0,0,0,1,0
50,50,40,1,1,True,30,0,40,0,3,3,0,True,True,False,False,False,False,False,False,18,10,0,0,2,4,0,0,15,1,0,0,0,1,0
51,0,1,1,1,False,10,0,0,12,1,1,0,True,False,False,False,False,False,False,False,11,0,0,0,5,0,0,0,0,0,0,0,1,0,1
52,0,1,1,1,False,0,1,0,13,1,1,0,True,False,False,False,False,False,False,False,11,0,0,0,5,0,0,0,0,0,0,0,1,0,1
53,255,0,1,0,False,1,0,1,10,1,1,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
54,1,1,0,0,False,0,0,0,0,1,1,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1,1,0,0,False,0,0,0,0,1,1,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,1,0,0,False,0,0,0,0,1,1,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1,1,0,0,False,0,0,0,0,1,1,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,1,0,0,False,0,0,0,0,1,1,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1,1,0,0,False,0,0,0,0,1,1,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1,1,0,0,False,0,0,0,0,1,1,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
