#,Name,Abilities,AutoAction,SmallScalePercentage,MediumScalePercentage,LargeScalePercentage,,,,AllowedPetMirage,Unknown18,Unknown14,,AutoDespawn,NonCombatSummon,ShowPetActionBar,,,,
int32,str,uint16,Action,uint16,uint16,uint16,bit&01,bit&02,bit&04,byte,byte,byte,sbyte,byte,byte,byte,byte,byte,byte,byte
64,"粘液怪",44967,44968,44934,46752,0,False,True,True,56,80,96,-1,25,0,0,0,0,0,17
65,"无头骑士",44969,44970,44934,46752,0,False,True,True,70,100,120,-1,26,0,0,0,0,0,18
66,"蝙蝠",44971,44972,44934,46752,0,False,True,True,175,200,240,-1,27,0,0,0,0,0,19
67,"陷阱草",44973,44974,44934,46752,0,False,True,True,91,130,156,-1,28,0,0,0,0,0,20
68,"席兹",44975,44976,44934,46752,0,False,True,True,42,60,72,-1,29,0,0,0,0,0,21
69,"仙人刺",44977,44978,44934,46752,0,False,True,True,126,180,216,-1,30,0,0,0,0,0,22
70,"巨像",44979,44980,44934,46752,0,False,True,True,70,100,120,-1,31,0,0,0,0,0,23
71,"碧企鹅",44981,44982,44934,46752,0,False,True,True,77,110,132,-1,32,0,0,0,0,0,24
72,"精金龟",44983,44984,44934,46752,0,False,True,True,28,40,48,-1,33,0,0,0,0,0,25
73,"大水牛",44985,44986,44934,46752,0,False,True,True,28,40,48,-1,34,0,0,0,0,0,26
74,"乌菊石",44987,44988,44934,46752,0,False,True,True,56,80,96,-1,35,0,0,0,0,0,27
75,"巨虫",44989,44990,44934,46752,0,False,True,True,42,60,72,-1,36,0,0,0,0,0,28
76,"魔石精",44991,44992,44934,46752,0,False,True,True,119,170,204,-1,37,0,0,0,0,0,29
77,"古菩猩猩",44993,44994,44934,46752,0,False,True,True,49,70,84,-1,38,0,0,0,0,0,30
78,"巨蟾蜍",44995,44996,44934,46752,0,False,True,True,42,60,72,-1,39,0,0,0,0,0,31
79,"蜂鸟",44997,44998,44934,46752,0,False,True,True,70,100,120,-1,40,0,0,0,0,0,32
80,"长须豹",44999,45000,44934,46752,0,False,True,True,56,80,96,-1,41,0,0,0,0,0,33
81,"盗龙",45001,45002,44934,46752,0,False,True,True,70,100,120,-1,42,0,0,0,0,0,34
82,"烈阳火蛟",45003,45004,44934,46752,0,False,True,True,56,80,96,-1,43,0,0,0,0,0,35
83,"树精",45005,45006,44934,46752,0,False,True,True,35,50,60,-1,44,0,0,0,0,0,36
84,"灵蚁",45007,45008,44934,46752,0,False,True,True,84,120,144,-1,45,0,0,0,0,0,37
85,"奇美拉",45009,45010,44934,46752,0,False,True,True,42,60,72,-1,46,0,0,0,0,0,38
86,"魔界花",45011,45012,44934,46752,0,False,True,True,42,60,72,-1,47,0,0,0,0,0,39
87,"幽灵",45013,45014,44934,46752,0,False,True,True,140,200,240,-1,48,0,0,0,0,0,40
88,"蝾螈",45015,45016,44934,46752,0,False,True,True,56,80,96,-1,49,0,0,0,0,0,41
89,"眼镜蛇",45017,45018,44934,46752,0,False,True,True,49,70,84,-1,50,0,0,0,0,0,42
90,"海德拉",45019,45020,44934,46752,0,False,True,True,32,45,54,-1,51,0,0,0,0,0,43
91,"灯心蜻蛉",45021,45022,44934,46752,0,False,True,True,49,70,84,-1,52,0,0,0,0,0,44
92,"腐坏古菩猩猩",45023,45024,44934,46752,0,False,True,True,49,70,84,-1,53,0,0,0,0,0,45
93,"祖",45025,45026,44934,46752,0,False,True,True,35,50,60,-1,54,0,0,0,0,0,46
94,"寒冰巨像",45027,45028,44934,46752,0,False,True,True,56,80,96,-1,55,0,0,0,0,0,47
95,"真红龙虾",45029,45030,44934,46752,0,False,True,True,63,90,108,-1,56,0,0,0,0,0,48
96,"大王花",45031,45032,44934,46752,0,False,True,True,56,80,96,-1,57,0,0,0,0,0,49
97,"贝希摩斯",45033,45034,44934,46752,0,False,True,True,35,50,60,-1,58,0,0,0,0,0,50
98,"",0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0
99,"",0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0
100,"",0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0
101,"",0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0
102,"",0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0
103,"",0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0
