#,Type,Unknown11,Unknown12,Unknown0,Unknown5,Unknown1,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown2,Unknown3,Unknown4
int32,XBMItemType,uint32,uint16,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str,str
16,1,243016,214,"水流盾",0,"",0,0,1,0,0,"水流盾","格挡性能+50%
特殊效果：30%几率使水属性伤害无效并吸收
特殊效果：盾格挡时有10%的几率为自身附加“反射”状态
反射效果：反射除特定攻击之外的所有魔法攻击
持续时间：60秒","水属性吸收、格挡性能、盾格挡时附加反射状态"
17,1,243017,82,"原力之盾",0,"",0,0,1,0,0,"原力之盾","格挡性能+75%
受到魔法伤害-10%","格挡性能提高、受到魔法伤害减轻"
18,1,243018,84,"深红缎带",0,"",0,0,1,0,0,"深红缎带","石化耐性+100%
失明耐性+100%
麻痹耐性+100%","石化耐性、失明耐性、麻痹耐性"
19,1,243019,238,"源氏之护手",0,"",0,0,1,0,0,"源氏之护手","造成伤害+12%
麻痹耐性+100%
特殊效果：自身发动战技触发兽心协作技时，有10%的几率恢复一部分消耗的技力","伤害提高、麻痹耐性、兽心协作技成功时恢复技力"
20,1,243020,94,"源氏之盾",0,"",0,0,1,0,0,"源氏之盾","格挡性能+30%
回避率+10%","格挡性能提高、回避率提高"
21,1,243021,226,"源氏之铠",0,"",0,0,1,0,0,"源氏之铠","移动速度-20%
受到伤害-20%
最大体力+30%","移动速度降低、受伤减轻、最大体力提高"
22,1,243022,112,"银框眼镜",0,"",0,0,1,0,0,"银框眼镜","暴击发动率+15%
失明耐性+100%","暴击发动率、失明耐性"
23,1,243023,189,"天使白衣",0,"",0,0,1,0,0,"天使白衣","受到伤害-7%
中毒耐性+100%
特殊效果：受到伤害时有5%的几率为自身附加1档“体力持续恢复”状态
体力持续恢复效果：每隔一段时间恢复自身最大体力的3%
体力持续恢复持续时间：12秒
最大档数：8档","受伤减轻、中毒耐性、受伤时体力恢复"
24,1,243024,390,"大师盾",0,"",0,0,1,0,0,"大师盾","格挡性能+125%
受到伤害-25%
最大体力+35%","格挡性能、受伤减轻、最大体力提高"
25,1,243025,220,"神秘面纱",0,"",0,0,1,0,0,"神秘面纱","造成魔法伤害+18%
受到魔法伤害-15%
特殊效果：自身使用技能及奇弈道具的体力恢复效果提高15%","造成魔法伤害提高、受到魔法伤害减轻、恢复量提高"
26,1,243026,122,"黑头巾",0,"",0,0,1,0,0,"黑头巾","最大体力+6%
回避率+8%
睡眠耐性+100%","最大体力提高、回避率提高、睡眠耐性"
27,1,243027,420,"英雄王冠",0,"",0,0,1,0,0,"英雄王冠","最大体力+30%
造成伤害+18%
特殊效果：自身发动战技触发兽心协作技时，为自身附加“卓异”状态
卓异效果：除特定攻击之外其他所有攻击均无效化，且造成伤害提高10%
卓异持续时间：9秒","最大体力提高、伤害提高、兽心协作技成功时附加卓异状态"
28,1,243028,150,"幻影背心",0,"",0,0,1,0,0,"幻影背心","特殊效果：受到伤害时有20%的几率为自身附加1档“闪躲”状态
闪躲效果：除特定攻击之外其他所有物理攻击均无效化，无效化时消耗1档闪躲
闪躲持续时间：120秒","受到伤害时附加闪躲状态"
29,1,243029,99,"死神铠甲",0,"",0,0,1,0,0,"死神铠甲","最大体力+10%
受到伤害-5%
死亡宣告耐性+100%","最大体力提高、受伤减轻、死亡宣告耐性"
30,1,243030,168,"荆棘铠甲",0,"",0,0,1,0,0,"荆棘铠甲","特殊效果：受到物理伤害时反击，对对方造成无属性魔法伤害，反击伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响
反击伤害威力：360","受到物理伤害时反击"
31,1,243031,90,"胆小者的匕首",0,"",0,0,1,0,0,"胆小者的匕首","造成伤害+1%
特殊效果：战斗开始前有35%的几率可以选择是否逃离，选择逃离时虽然得不到战利品但是可以回避战斗
无法避开强敌和头目
追加效果：成功逃离时，为自身附加1档“游击”状态
游击效果：造成伤害+18%、回避率+4%
游击持续时间：永久","伤害提高、回避战斗"
32,1,243032,167,"灵极上衣",0,"",0,0,1,0,0,"灵极上衣","最大体力+12%
特殊效果：自身发动战技触发兽心协作技时，有25%的几率恢复一部分消耗的技力","最大体力提高、兽心协作技成功时恢复技力"
33,1,243033,81,"灵极戒指",0,"",0,0,1,0,0,"灵极戒指","受到物理伤害-9%
特殊效果：自身发动战技触发兽心协作技时，有10%的几率恢复一部分消耗的技力","受到物理伤害减轻、兽心协作技成功时恢复技力"
34,1,243034,112,"灵极手镯",0,"",0,0,1,0,0,"灵极手镯","受到魔法伤害-15%
最大体力+5%
眩晕耐性+100%","受到魔法伤害减轻、最大体力提高、眩晕耐性"
35,1,243035,190,"星极上衣",0,"",0,0,1,0,0,"星极上衣","高速复唱+25%
受到伤害-7%
最大体力+15%","高速复唱、受伤减轻、最大体力提高"
36,1,243036,74,"星极戒指",0,"",0,0,1,0,0,"星极戒指","高速复唱+15%
受到物理伤害-8%","高速复唱、受到物理伤害减轻"
37,1,243037,86,"星极手镯",0,"",0,0,1,0,0,"星极手镯","高速复唱+15%
受到魔法伤害-8%","高速复唱、受到魔法伤害减轻"
38,1,243038,168,"缠火斧",0,"",0,0,1,0,0,"缠火斧","特殊效果：自动攻击追加火属性伤害
追加伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响
追加伤害威力：240
当同时持有其他具备自动攻击追加效果的斗兽装备时，仅能发挥1个效果","自动攻击追加火属性伤害"
39,1,243039,168,"缠冰斧",0,"",0,0,1,0,0,"缠冰斧","特殊效果：自动攻击追加冰属性伤害
追加伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响
追加伤害威力：240
当同时持有其他具备自动攻击追加效果的斗兽装备时，仅能发挥1个效果","自动攻击追加冰属性伤害"
40,1,243040,168,"缠雷斧",0,"",0,0,1,0,0,"缠雷斧","特殊效果：自动攻击追加雷属性伤害
追加伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响
追加伤害威力：240
当同时持有其他具备自动攻击追加效果的斗兽装备时，仅能发挥1个效果","自动攻击追加雷属性伤害"
41,1,243041,168,"缠土斧",0,"",0,0,1,0,0,"缠土斧","特殊效果：自动攻击追加土属性伤害
追加伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响
追加伤害威力：240
当同时持有其他具备自动攻击追加效果的斗兽装备时，仅能发挥1个效果","自动攻击追加土属性伤害"
42,1,243042,168,"缠水斧",0,"",0,0,1,0,0,"缠水斧","特殊效果：自动攻击追加水属性伤害
追加伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响
追加伤害威力：240
当同时持有其他具备自动攻击追加效果的斗兽装备时，仅能发挥1个效果","自动攻击追加水属性伤害"
43,1,243043,168,"缠风斧",0,"",0,0,1,0,0,"缠风斧","特殊效果：自动攻击追加风属性伤害
追加伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响
追加伤害威力：240
当同时持有其他具备自动攻击追加效果的斗兽装备时，仅能发挥1个效果","自动攻击追加风属性伤害"
44,1,243044,175,"忍者服",0,"",0,0,1,0,0,"忍者服","最大体力+17%
回避率+8%
特殊效果：成功回避攻击时，为自身附加1档“加速”状态
加速效果：自动攻击间隔、战技与魔法的咏唱及复唱时间缩短2%
加速持续时间：60秒
最大档数：5档","最大体力提高、回避率提高、回避时附加加速状态"
45,1,243045,63,"忍者手甲",0,"",0,0,1,0,0,"忍者手甲","加速+2%
造成物理伤害+3%","加速、造成物理伤害提高"
46,1,243046,91,"忍者眼带",0,"",0,0,1,0,0,"忍者眼带","加速+5%
暴击发动率+5%","加速、暴击发动率"
47,1,243047,224,"烈风盾",0,"",0,0,1,0,0,"烈风盾","特殊效果：30%几率使风属性伤害无效并吸收
特殊效果：盾格挡时有50%的几率为自身附加1档“闪躲”状态
闪躲效果：除特定攻击之外其他所有物理攻击均无效化，无效化时消耗1档闪躲
闪躲持续时间：120秒","风属性吸收、盾格挡时附加闪躲状态"
48,1,243048,154,"烈风面罩",0,"",0,0,1,0,0,"烈风面罩","受到魔法伤害-10%
特殊效果：自身使用技能及奇弈道具的体力恢复效果提高15%
特殊效果：成功回避攻击时，为自身附加“双刃剑”状态
双刃剑效果：体力逐渐流失的同时造成伤害提高30%
双刃剑持续时间：21秒","受到魔法伤害减轻、恢复量提高、回避时附加双刃剑状态"
49,1,243049,264,"烈风铠甲",0,"",0,0,1,0,0,"烈风铠甲","受到伤害-15%
造成魔法伤害+20%
特殊效果：自身使用技能及奇弈道具的体力恢复效果提高30%","受伤减轻、造成魔法伤害提高、恢复量提高"
50,1,243050,268,"重斧",0,"",0,0,1,0,0,"重斧","造成伤害+25%
移动速度-20%","伤害提高、移动速度降低"
51,1,243051,172,"秘银铠甲",0,"",0,0,1,0,0,"秘银铠甲","受到伤害-15%
最大体力+15%","受伤减轻、最大体力提高"
52,1,243052,113,"秘银护手",0,"",0,0,1,0,0,"秘银护手","受到伤害-5%
造成物理伤害+5%
最大体力+5%","受伤减轻、造成物理伤害提高、最大体力提高"
53,1,243053,85,"秘银足铠",0,"",0,0,1,0,0,"秘银足铠","受到伤害-10%
最大体力+5%","受伤减轻、最大体力提高"
54,1,243054,126,"猛兽面具",0,"",0,0,1,0,0,"猛兽面具","受到物理伤害-10%
暴击发动率+15%","受到物理伤害减轻、暴击发动率"
55,1,243055,87,"猛兽短刀",0,"",0,0,1,0,0,"猛兽短刀","暴击发动率+8%
特殊效果：暴击时有25%的几率为自身附加1档“伤害提高”状态
伤害提高效果：造成伤害提高3%
伤害提高持续时间：30秒
最大档数：8档","暴击发动率、暴击时附加伤害提高状态"
56,1,243056,84,"猛兽耳饰",0,"",0,0,1,0,0,"猛兽耳饰","暴击发动率+15%
最大体力+2%","暴击发动率、最大体力提高"
57,1,243057,200,"盗贼匕首",0,"",0,0,1,0,0,"盗贼匕首","加速+1%
特殊效果：寻宝时可以选择2个道具","加速、寻宝时选择2个道具"
58,1,243058,172,"盗贼上衣",0,"",0,0,1,0,0,"盗贼上衣","战利品掉落率+80%
受到伤害-8%
最大体力+18%","战利品掉落率提高、受伤减轻、最大体力提高"
59,1,243059,50,"盗贼手套",0,"",0,0,1,0,0,"盗贼手套","战利品掉落率+70%
加速+2%","战利品掉落率提高、加速"
60,1,243060,30,"盗贼靴",0,"",0,0,1,0,0,"盗贼靴","战利品掉落率+40%
回避率+2%","战利品掉落率提高、回避率提高"
61,1,243061,315,"闪雷斧",0,"",0,0,1,0,0,"闪雷斧","造成伤害+30%
特殊效果：受到伤害时有5%的几率为自身附加“眩晕”状态
眩晕持续时间：3秒","伤害提高、受伤时附加眩晕状态"
62,1,243062,161,"闪雷铠",0,"",0,0,1,0,0,"闪雷铠","特殊效果：30%几率使雷属性伤害无效并吸收
特殊效果：暴击时有5%的几率为自身附加1档“激昂”状态
激昂效果：造成伤害+10%、受到伤害-5%
激昂持续时间：180秒
最大档数：4档","雷属性吸收、暴击时附加激昂状态"
63,1,243063,84,"退魔盾",0,"",0,0,1,0,0,"退魔盾","特殊效果：盾格挡时为自身附加1档“受到魔法伤害减轻”状态
受到魔法伤害减轻效果：受到的魔法伤害减轻5%
受到魔法伤害减轻持续时间：60秒
最大档数：8档","盾格挡时附加受到魔法伤害减轻状态"
64,1,243064,113,"黄金发饰",0,"",0,0,1,0,0,"黄金发饰","高速复唱+10%
特殊效果：自身发动战技触发兽心协作技时，有25%的几率恢复一部分消耗的技力","高速复唱、兽心协作技成功时恢复技力"
65,1,243065,262,"火焰匕首",0,"",0,0,1,0,0,"火焰匕首","造成伤害+25%
加速+5%
特殊效果：暴击时有10%的几率为自身附加“烈焰锢”状态
烈焰锢效果：移动时会受到魔法伤害
烈焰锢持续时间：9秒","伤害提高、加速、暴击时附加烈焰锢状态"
66,1,243066,116,"火焰盾",0,"",0,0,1,0,0,"火焰盾","格挡性能+50%
造成伤害+3%
特殊效果：30%几率使火属性伤害无效并吸收","火属性吸收、格挡性能、伤害提高"
67,1,243067,24,"商人帽子",0,"",0,0,1,0,0,"商人帽子","斗兽币获得量+25%
暴击发动率-10%
造成伤害+5%","斗兽币获得量提高、暴击发动率降低、伤害提高"
68,1,243068,52,"商人上衣",0,"",0,0,1,0,0,"商人上衣","斗兽币获得量+25%
受到物理伤害-10%","斗兽币获得量提高、受到物理伤害减轻"
69,1,243069,101,"商人靴",0,"",0,0,1,0,0,"商人靴","斗兽币获得量+25%
回避率+4%
最大体力+12%","斗兽币获得量提高、回避率提高、最大体力提高"
70,1,243070,113,"高昂戒指",0,"",0,0,1,0,0,"高昂戒指","最大体力+3%
特殊效果：技力累积量提高25%","技力累积量提高"
71,1,243071,264,"恶魔头盔",0,"",0,0,1,0,0,"恶魔头盔","造成伤害+20%
特殊效果：受到伤害时有1%的几率为自身附加“死亡宣告”状态
死亡宣告持续时间：2秒
特殊效果：技力累积量提高20%","伤害提高、受伤时附加死亡宣告状态、技力累积量提高"
72,1,243072,170,"恶魔铠甲",0,"",0,0,1,0,0,"恶魔铠甲","最大体力+5%
特殊效果：技力累积量提高5%
特殊效果：对敌人造成致命一击时，为自身附加1档“激昂”状态
激昂效果：造成伤害+10%、受到伤害-5%
激昂持续时间：180秒
最大档数：4档","最大体力提高、技力累积量提高、打倒敌人时附加激昂状态"
73,1,243073,129,"女帝飞虫的薄翼发饰",0,"",0,0,1,0,0,"女帝飞虫的薄翼发饰","回避率+10%
最大体力-8%
特殊效果：暴击时有2%的几率为自身附加1档“体力持续恢复”状态
体力持续恢复效果：每隔一段时间恢复自身最大体力的3%
体力持续恢复持续时间：12秒
最大档数：8档","回避率提高、最大体力降低、暴击时体力恢复"
74,1,243074,76,"加速腰带",0,"",0,0,1,0,0,"加速腰带","加速+6%","加速"
75,1,243075,64,"战士圆盾",0,"",0,0,1,0,0,"战士圆盾","格挡性能+100%
受到物理伤害-5%
最大体力+2%","格挡性能、受到物理伤害减轻、最大体力提高"
76,2,243136,32,"1级魔兽恢复药",0,"",0,0,1,0,0,"1级魔兽恢复药","以自身或魔兽为目标，恢复10%的体力",""
77,2,243137,72,"2级魔兽恢复药",0,"",0,0,1,0,0,"2级魔兽恢复药","以自身或魔兽为目标，恢复23%的体力",""
78,2,243138,113,"3级魔兽恢复药",0,"",0,0,1,0,0,"3级魔兽恢复药","以自身或魔兽为目标，恢复36%的体力",""
79,2,243139,158,"4级魔兽恢复药",0,"",0,0,1,0,0,"4级魔兽恢复药","以自身或魔兽为目标，恢复50%的体力",""
80,2,243140,63,"1级魔兽药粉",0,"",0,0,1,0,0,"1级魔兽药粉","恢复自身及周围队员10%的体力",""
81,2,243141,158,"2级魔兽药粉",0,"",0,0,1,0,0,"2级魔兽药粉","恢复自身及周围队员25%的体力",""
82,2,243142,252,"3级魔兽药粉",0,"",0,0,1,0,0,"3级魔兽药粉","恢复自身及周围队员40%的体力",""
83,2,243143,32,"魔兽解毒药",0,"",0,0,1,0,0,"魔兽解毒药","以自身或魔兽为目标，解除除特定攻击之外其他所有中毒状态
治愈成功后，恢复目标最大体力的25%
该道具仅可在战斗地图中使用",""
84,2,243144,32,"魔兽金针",0,"",0,0,1,0,0,"魔兽金针","以魔兽为目标，解除除特定攻击之外其他所有石化状态
治愈成功后，恢复目标最大体力的50%，同时附加“石肤”状态
石肤效果：抵消相当于最大体力50%的伤害量
石肤持续时间：60秒
该道具仅可在战斗地图中使用",""
85,2,243145,32,"魔兽眼药",0,"",0,0,1,0,0,"魔兽眼药","以自身或魔兽为目标，解除除特定攻击之外其他所有失明状态
治愈成功后，恢复目标最大体力的25%
该道具仅可在战斗地图中使用",""
86,2,243146,32,"1级魔兽抗毒药",0,"",0,0,1,0,0,"1级魔兽抗毒药","以自身或魔兽为目标，将中毒耐性提高100%
持续时间：180秒
追加效果：持有深红缎带时，恢复目标最大体力的50%
该道具仅可在战斗地图中使用",""
87,2,243147,50,"2级魔兽抗毒药",0,"",0,0,1,0,0,"2级魔兽抗毒药","将自身及周围队员的中毒耐性提高100%
持续时间：300秒
追加效果：持有深红缎带时，恢复目标最大体力的50%
该道具仅可在战斗地图中使用",""
88,2,243148,32,"1级魔兽抗麻痹药",0,"",0,0,1,0,0,"1级魔兽抗麻痹药","以自身或魔兽为目标，将麻痹耐性提高100%
持续时间：180秒
追加效果：持有深红缎带时，恢复目标最大体力的50%
该道具仅可在战斗地图中使用",""
89,2,243149,50,"2级魔兽抗麻痹药",0,"",0,0,1,0,0,"2级魔兽抗麻痹药","将自身及周围队员的麻痹耐性提高100%
持续时间：300秒
追加效果：持有深红缎带时，恢复目标最大体力的50%
该道具仅可在战斗地图中使用",""
90,2,243150,32,"1级魔兽抗失明药",0,"",0,0,1,0,0,"1级魔兽抗失明药","以自身或魔兽为目标，将失明耐性提高100%
持续时间：180秒
追加效果：持有深红缎带时，恢复目标最大体力的50%
该道具仅可在战斗地图中使用",""
91,2,243151,50,"2级魔兽抗失明药",0,"",0,0,1,0,0,"2级魔兽抗失明药","将自身及周围队员的失明耐性提高100%
持续时间：300秒
追加效果：持有深红缎带时，恢复目标最大体力的50%
该道具仅可在战斗地图中使用",""
92,2,243152,32,"1级魔兽抗石化药",0,"",0,0,1,0,0,"1级魔兽抗石化药","以自身或魔兽为目标，将石化耐性提高100%
持续时间：180秒
追加效果：持有深红缎带时，恢复目标最大体力的50%
该道具仅可在战斗地图中使用",""
93,2,243153,50,"2级魔兽抗石化药",0,"",0,0,1,0,0,"2级魔兽抗石化药","将自身及周围队员的石化耐性提高100%
持续时间：300秒
追加效果：持有深红缎带时，恢复目标最大体力的50%
该道具仅可在战斗地图中使用",""
94,2,243154,32,"1级魔兽抗睡眠药",0,"",0,0,1,0,0,"1级魔兽抗睡眠药","以自身或魔兽为目标，将睡眠耐性提高100%
持续时间：180秒
追加效果：持有深红缎带时，恢复目标最大体力的50%
该道具仅可在战斗地图中使用",""
95,2,243155,50,"2级魔兽抗睡眠药",0,"",0,0,1,0,0,"2级魔兽抗睡眠药","将自身及周围队员的睡眠耐性提高100%
持续时间：300秒
追加效果：持有深红缎带时，恢复目标最大体力的50%
该道具仅可在战斗地图中使用",""
96,2,243156,135,"回唤兽笛",0,"",0,0,1,0,0,"回唤兽笛","让陷入无法战斗状态的魔兽复活
该道具仅可在战斗地图中使用",""
97,2,243157,85,"魔兽烟雾弹",0,"",0,0,1,0,0,"魔兽烟雾弹","可以回避战斗
但对强敌和头目无效
战斗开始前可选择是否使用",""
98,2,243158,221,"1级魔兽复活药",0,"",0,0,1,0,0,"1级魔兽复活药","为自身附加“重生”状态
重生效果：陷入无法战斗状态时有70%的几率自动复活
持续时间：永久",""
99,2,243159,299,"2级魔兽复活药",0,"",0,0,1,0,0,"2级魔兽复活药","为自身附加“重生”状态
重生效果：陷入无法战斗状态时有95%的几率自动复活
持续时间：永久",""
100,2,243160,32,"盗贼之眼",0,"",0,0,1,0,0,"盗贼之眼","为自身附加“盗贼之眼”状态
盗贼之眼效果：下一次完成战斗时的战利品掉落率将变为3倍
持续时间：30分
该道具仅可在战斗地图中使用",""
101,2,243161,23,"商人之眼",0,"",0,0,1,0,0,"商人之眼","为自身附加“商人之眼”状态
商人之眼效果：下一次完成战斗时的斗兽币获得量将变为2倍
持续时间：30分
该道具仅可在战斗地图中使用",""
102,2,243162,47,"魔兽硬肤药",0,"",0,0,1,0,0,"魔兽硬肤药","以自身或魔兽为目标，附加“硬肤药”状态
硬肤药效果：所受伤害减轻20%
持续时间：60秒
追加效果：持有“寒冰盾”时，持续时间将变为90秒
该道具仅可在战斗地图中使用",""
103,2,243163,43,"魔兽缩时药",0,"",0,0,1,0,0,"魔兽缩时药","以自身或魔兽为目标，附加“缩时药”状态
缩时药效果：自动攻击间隔、战技与魔法的咏唱及复唱时间缩短15%
持续时间：60秒
追加效果：持有“盗贼手套”时，持续时间将变为90秒
该道具仅可在战斗地图中使用",""
104,2,243164,36,"魔兽刚力药",0,"",0,0,1,0,0,"魔兽刚力药","以自身或魔兽为目标，附加“刚力药”状态
刚力药效果：令目标造成的物理伤害提高30%
持续时间：15秒
该道具仅可在战斗地图中使用",""
105,2,243165,88,"魔兽刚力猛药",0,"",0,0,1,0,0,"魔兽刚力猛药","以自身或魔兽为目标，以眩晕为代价，附加“刚力药”状态
刚力药效果：令目标造成的物理伤害提高45%
眩晕持续时间：15秒
刚力药持续时间：30秒
该道具仅可在战斗地图中使用",""
106,2,243166,23,"魔兽魔力药",0,"",0,0,1,0,0,"魔兽魔力药","以自身或魔兽为目标，附加“魔力药”状态
魔力药效果：令目标造成的魔法伤害提高30%
持续时间：15秒
该道具仅可在战斗地图中使用",""
107,2,243167,50,"魔兽魔力猛药",0,"",0,0,1,0,0,"魔兽魔力猛药","以自身或魔兽为目标，以噩梦为代价，附加“魔力药”状态
魔力药效果：令目标造成的魔法伤害提高50%
噩梦持续时间：30秒
魔力药持续时间：30秒
该道具仅可在战斗地图中使用",""
108,2,243168,20,"魔兽特攻药",0,"",0,0,1,0,0,"魔兽特攻药","以自身或魔兽为目标，附加“特攻药”状态
特攻药效果：令目标的暴击发动率提高30%
持续时间：30秒
追加效果：持有“银框眼镜”时，持续时间将变为60秒
该道具仅可在战斗地图中使用",""
109,2,243169,36,"魔兽特攻猛药",0,"",0,0,1,0,0,"魔兽特攻猛药","以自身或魔兽为目标，以石化为代价，附加“特攻药”状态
特攻药效果：令目标的暴击发动率提高50%
石化持续时间：15秒
特攻药持续时间：30秒
追加效果：持有“银框眼镜”时，持续时间将变为60秒
该道具仅可在战斗地图中使用",""
110,2,243170,21,"魔兽敏捷药",0,"",0,0,1,0,0,"魔兽敏捷药","以自身或魔兽为目标，附加“敏捷药”状态
敏捷药效果：令目标的回避率提高25%
持续时间：30秒
该道具仅可在战斗地图中使用",""
111,2,243171,36,"魔兽敏捷猛药",0,"",0,0,1,0,0,"魔兽敏捷猛药","以自身或魔兽为目标，以失明为代价，附加“敏捷药”状态
敏捷药效果：令目标的回避率提高25%
失明持续时间：30秒
敏捷药持续时间：60秒
该道具仅可在战斗地图中使用",""
112,2,243172,95,"魔兽耐力药",0,"",0,0,1,0,0,"魔兽耐力药","以自身或魔兽为目标，附加“耐力药”状态，恢复10%的体力
耐力药效果：令最大体力提高20%
持续时间：永久，完成1次战斗后效果消失
该道具仅可在战斗地图中使用",""
113,2,243173,140,"魔兽耐力猛药",0,"",0,0,1,0,0,"魔兽耐力猛药","以自身或魔兽为目标，以猛毒为代价，附加“耐力药”状态，恢复10%的体力
耐力药效果：令最大体力提高30%
猛毒持续时间：180秒
耐力药持续时间：永久，完成1次战斗后效果消失
该道具仅可在战斗地图中使用",""
114,2,243174,225,"魔兽加速药",0,"",0,0,1,0,0,"魔兽加速药","为自身附加“盗贼的药”状态
盗贼的药效果：移动速度提高20%，回避率提高5%，中毒耐性提高100%
持续时间：永久，完成1次战斗后效果消失
该道具仅可在战斗地图中使用",""
115,2,243175,43,"魔兽羽毛",0,"",0,0,1,0,0,"魔兽羽毛","以自身或魔兽为目标，增加100点技力
追加效果：持有“高昂戒指”时，技力增加量将变为250点
该道具仅可在战斗地图中使用",""
116,2,243176,47,"1级魔兽耐火药",0,"",0,0,1,0,0,"1级魔兽耐火药","为自身及周围队员附加“耐火药”状态
耐火药效果：50%几率使火属性伤害无效并吸收
持续时间：15秒
该道具仅可在战斗地图中使用",""
117,2,243177,95,"2级魔兽耐火药",0,"",0,0,1,0,0,"2级魔兽耐火药","为自身及周围队员附加“耐火药”状态
耐火药效果：70%几率使火属性伤害无效并吸收
持续时间：15秒
该道具仅可在战斗地图中使用",""
118,2,243178,47,"1级魔兽耐水药",0,"",0,0,1,0,0,"1级魔兽耐水药","为自身及周围队员附加“耐水药”状态
耐水药效果：50%几率使水属性伤害无效并吸收
持续时间：15秒
该道具仅可在战斗地图中使用",""
119,2,243179,95,"2级魔兽耐水药",0,"",0,0,1,0,0,"2级魔兽耐水药","为自身及周围队员附加“耐水药”状态
耐水药效果：70%几率使水属性伤害无效并吸收
持续时间：15秒
该道具仅可在战斗地图中使用",""
120,2,243180,47,"1级魔兽耐土药",0,"",0,0,1,0,0,"1级魔兽耐土药","为自身及周围队员附加“耐土药”状态
耐土药效果：50%几率使土属性伤害无效并吸收
持续时间：15秒
该道具仅可在战斗地图中使用",""
121,2,243181,95,"2级魔兽耐土药",0,"",0,0,1,0,0,"2级魔兽耐土药","为自身及周围队员附加“耐土药”状态
耐土药效果：70%几率使土属性伤害无效并吸收
持续时间：15秒
该道具仅可在战斗地图中使用",""
122,2,243182,47,"1级魔兽耐雷药",0,"",0,0,1,0,0,"1级魔兽耐雷药","为自身及周围队员附加“耐雷药”状态
耐雷药效果：50%几率使雷属性伤害无效并吸收
持续时间：15秒
该道具仅可在战斗地图中使用",""
