#,Type,Unknown11,Unknown5,Unknown7,Unknown8,Unknown9,Unknown6,GFATEParams0LGBPopRange,GFATEParams1LGBPopRange,GFATEParams2LGBPopRange,GFATEParams3LGBPopRange,GFATEParams4LGBPopRange,GFATEParams5LGBPopRange,GFATEParams6LGBPopRange,GFATEParams7LGBPopRange,GFATEParams8LGBPopRange,GFATEParams9LGBPopRange,GFATEParams10LGBPopRange,GFATEParams11LGBPopRange,GFATEParams12LGBPopRange,GFATEParams13LGBPopRange,GFATEParams14LGBPopRange,Unknown0,GFATEParams0Icon,GFATEParams1Icon,GFATEParams2Icon,GFATEParams3Icon,GFATEParams4Icon,GFATEParams5Icon,GFATEParams6Icon,GFATEParams7Icon,GFATEParams8Icon,GFATEParams9Icon,GFATEParams10Icon,GFATEParams11Icon,GFATEParams12Icon,GFATEParams13Icon,GFATEParams14Icon,Unknown1,GFATEParams0Unknown0,GFATEParams1Unknown0,GFATEParams2Unknown0,GFATEParams3Unknown0,GFATEParams4Unknown0,GFATEParams5Unknown0,GFATEParams6Unknown0,GFATEParams7Unknown0,GFATEParams8Unknown0,GFATEParams9Unknown0,GFATEParams10Unknown0,GFATEParams11Unknown0,GFATEParams12Unknown0,GFATEParams13Unknown0,GFATEParams14Unknown0,Unknown2,GFATEParams0Unknown1,GFATEParams1Unknown1,GFATEParams2Unknown1,GFATEParams3Unknown1,GFATEParams4Unknown1,GFATEParams5Unknown1,GFATEParams6Unknown1,GFATEParams7Unknown1,GFATEParams8Unknown1,GFATEParams9Unknown1,GFATEParams10Unknown1,GFATEParams11Unknown1,GFATEParams12Unknown1,GFATEParams13Unknown1,GFATEParams14Unknown1,Unknown3,GFATEParams0Unknown2,GFATEParams1Unknown2,GFATEParams2Unknown2,GFATEParams3Unknown2,GFATEParams4Unknown2,GFATEParams5Unknown2,GFATEParams6Unknown2,GFATEParams7Unknown2,GFATEParams8Unknown2,GFATEParams9Unknown2,GFATEParams10Unknown2,GFATEParams11Unknown2,GFATEParams12Unknown2,GFATEParams13Unknown2,GFATEParams14Unknown2,Unknown4
int32,GFateType,byte,uint32,uint16,uint16,uint16,uint32,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,uint32,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,uint32,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04
10,1,3,251,279,280,281,0,4982056,4982056,4982057,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,1,3,251,279,280,281,0,4982056,4982056,4982057,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,1,1,251,279,280,281,0,4982059,4982059,4982058,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,1,1,251,279,280,281,0,4982059,4982059,4982058,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,1,1,251,279,280,281,0,4982059,4982059,4982058,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,1,1,251,279,280,281,0,4982059,4982059,4982058,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,1,1,251,279,280,281,0,4982059,4982059,4982058,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,1,1,251,279,280,281,0,4982059,4982059,4982058,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,1,1,251,279,280,281,0,4982059,4982059,4982058,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,5,2,251,279,280,281,0,5126495,5126495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,2,3,251,279,280,281,0,4982026,4982026,5584138,5582186,5584063,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,71312,71312,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,2,3,251,279,280,281,0,4982026,4982026,5584138,5582186,5584063,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,71312,71312,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,2,3,251,279,280,281,0,4982026,4982026,5584138,5582186,5584063,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,71312,71312,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
52,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
53,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
54,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55,5,2,251,279,280,281,0,5126495,5126495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
