key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
17,"麻痹","身体部分机能出现异常，偶尔会无法行动",215006,0,0,1,2,5,0,False,False,False,False,False,False,True,False,False,100,0,False,False,33,0,False,0,False,0,False,0,0,0,False,False,False,0
18,"中毒","毒素会导致体力逐渐减少",215007,0,0,1,2,1,0,False,False,False,False,False,False,True,False,False,10,0,False,True,10,0,False,0,False,5,False,0,0,0,False,False,False,0
19,"猛毒","毒素会导致体力逐渐减少",215517,0,0,1,2,1,0,False,False,False,False,False,False,False,True,True,10,0,False,True,100,0,False,0,False,5,False,0,0,0,False,False,False,0
20,"技力流失","技力不断减少",215025,0,0,1,2,17,0,False,False,False,False,False,False,True,False,False,10,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
21,"体力增加","体力最大值提高",215075,6,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
22,"体力衰减","体力最大值降低",215076,6,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
23,"魔力增加","魔力最大值提高",215077,7,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
24,"魔力衰减","魔力最大值降低",215078,7,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
25,"物理攻击力提升","物理攻击力增强",215050,8,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
26,"物理攻击力降低","物理攻击力减弱",215051,8,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
27,"命中率提升","命中率增强",215060,9,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
28,"命中率降低","命中率减弱",215061,9,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
29,"物理防御力提升","物理防御力增强",215052,10,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
30,"物理防御力降低","物理防御力减弱",215053,10,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
31,"回避力提升","回避力增强",215062,11,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
32,"回避力降低","回避力减弱",215063,11,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
33,"魔法攻击力提升","魔法攻击力增强",215054,12,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
34,"魔法攻击力降低","魔法攻击力减弱",215055,12,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
35,"魔法治疗力提升","魔法治疗力增强",215058,13,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
36,"魔法治疗力降低","魔法治疗力减弱",215059,13,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
37,"魔法防御力提升","魔法防御力增强",215056,14,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
38,"魔法防御力降低","魔法防御力减弱",215057,14,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
39,"眩晕无效","附带眩晕效果的技能无法生效",215566,0,0,1,1,16,0,False,False,False,False,False,False,False,True,True,100,0,False,False,100,0,False,0,False,0,False,0,0,0,False,False,False,0
40,"沉默无效","附带沉默效果的技能无法生效",215567,0,0,1,1,16,0,False,False,False,False,False,False,False,True,True,100,0,False,False,100,0,False,0,False,0,False,0,0,0,False,False,False,0
41,"制作设备","借助制作设备进行作业，90级及以下的能工巧匠会提升最大制作力",216107,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
42,"超越之力","突破自身极限，最大体力增加，同时攻击造成的伤害及治疗魔法的治疗量也会增加",216207,0,0,1,1,16,0,False,False,False,False,False,False,False,True,True,0,0,False,False,15,0,False,0,False,0,False,0,0,0,False,False,False,0
43,"衰弱","身体很虚弱，力量、灵巧、智力、精神均降低25%",215010,16,0,1,2,0,0,False,False,False,False,False,False,False,False,False,100,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
44,"濒死","身体很虚弱，力量、灵巧、智力、精神均降低50%",215011,16,0,1,2,0,0,False,False,False,False,False,False,False,False,False,100,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
45,"巧手之工","能工巧匠获得的经验值增加",216106,15,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,1,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
46,"大地之恩","大地使者获得的经验值增加",216006,15,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,1,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
47,"隐行","轻声行动，不容易被敌人发现
不会被最多高于自身等级4级的敌人袭击",216015,0,0,1,1,16,138,False,False,False,False,False,False,False,True,True,2,0,False,False,0,0,False,0,False,0,False,0,36,0,False,False,False,0
48,"进食","受到进食的效果影响",216202,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,1,False,False,1,0,False,0,False,0,False,0,0,0,False,False,False,0
49,"强化药","受到强化药的效果影响",216203,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,2,0,False,0,False,0,False,0,0,0,False,False,False,0
50,"冲刺","移动速度提高",210101,41,0,1,1,0,0,False,False,False,False,False,False,False,False,False,0,0,False,False,0,18,False,0,False,0,False,0,6,0,False,False,False,0
51,"力量降低","力量值降低",215080,0,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,0,False,False,-5,0,False,0,False,0,False,0,0,0,False,False,False,0
52,"耐力降低","耐力值降低",215082,0,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,0,False,False,-5,0,False,0,False,0,False,0,0,0,False,False,False,0
53,"物理伤害提高","物理攻击所造成的伤害提高",215050,35,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
54,"物理伤害降低","物理攻击所造成的伤害降低",215051,35,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
55,"物理受伤减轻","受到物理攻击的伤害减少",215052,36,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
56,"物理受伤加重","受到物理攻击的伤害增加",215053,36,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
57,"魔法伤害提高","魔法攻击所造成的伤害提高",215054,37,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
58,"魔法伤害降低","魔法攻击所造成的伤害降低",215055,37,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
59,"魔法受伤减轻","受到魔法攻击的伤害减少",215056,38,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
60,"魔法受伤加重","受到魔法攻击的伤害增加",215057,38,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
61,"伤害提高","攻击所造成的伤害提高",215519,39,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
62,"伤害降低","攻击所造成的伤害降低",215520,39,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
63,"受伤减轻","受到攻击的伤害减少",215021,40,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
64,"受伤加重","受到攻击的伤害增加",215020,40,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
65,"战技暴击化","发动战技时必定打出暴击",215016,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
66,"恐怖","过于恐惧而无法做出任何行动",215516,0,0,1,2,18,0,True,False,True,False,False,False,False,False,False,100,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
67,"沉重","移动速度降低",215518,0,0,1,2,4,6,False,False,False,False,False,False,False,True,True,100,0,False,False,0,1,False,0,False,0,False,0,0,0,False,False,False,0
68,"吸血攻击","自动攻击附加吸收体力的效果",215504,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
69,"取技攻击","自动攻击附加吸收技力的效果",215505,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,100,0,False,0,False,0,False,0,0,0,False,False,False,0
70,"眩晕攻击","自动攻击有一定几率附加眩晕效果",215506,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,176,0,False,0,False,0,False,0,0,0,False,False,False,0
71,"铁壁","减轻所受到的伤害",210152,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,False,0
72,"渐愈","自身所受的治疗魔法效果提高",210157,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,20,0,False,0,False,0,False,0,0,0,False,False,False,0
73,"警觉","不会受到暴击",213916,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
74,"预警","减轻所受到的伤害",210151,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,-20,0,False,0,False,0,False,0,0,0,False,False,False,0
75,"钢铁意志","除特定攻击之外其他所有击退与吸引无效",210153,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
76,"战逃反应","攻击所造成的伤害提高",210155,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
77,"壁垒","受到攻击时必定发动格挡",210156,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,100,0,False,0,False,0,False,0,0,0,False,False,False,0
78,"忠义之剑","对自动攻击附加追加伤害",212505,0,0,1,1,16,0,False,False,False,False,False,False,False,True,True,0,0,False,False,100,0,True,0,False,0,False,0,0,0,False,False,False,0
79,"钢铁信念","自身仇恨提高",212506,0,0,1,1,16,0,False,False,False,False,False,False,False,True,True,0,0,False,False,500,0,True,0,False,0,False,0,0,0,False,False,False,0
80,"保护","正在保护特定的队员",212501,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,100,0,False,False,0,0,True,0,False,0,False,0,0,0,False,False,False,0
81,"被保护","正处于特定队员的保护下",212502,0,0,20,1,16,0,False,False,False,False,False,False,False,False,False,100,0,False,False,0,0,True,0,False,0,False,0,35,0,False,False,False,0
82,"神圣领域","除特定攻击之外其他所有攻击均无效化",212504,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,70,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
83,"预见","物理防御力增强",210252,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
84,"浴血","物理攻击附带吸收体力的效果",213913,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,25,0,False,0,False,0,False,0,0,0,False,False,False,0
85,"凶残裂","攻击所造成的伤害提高",210262,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,5,0,False,0,False,0,False,0,0,0,False,False,False,0
86,"狂暴","自身发动战技必定暴击并且直击
受暴击或直击发动率提高效果影响时，攻击造成的伤害提高",217217,0,3,1,1,16,0,False,False,False,False,False,False,False,False,False,0,2,False,False,0,27,False,0,False,0,False,0,0,0,False,False,False,0
87,"战栗","体力最大值提高
习得战栗效果提高后追加效果：自身所受的治疗效果提高",210254,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,5,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
88,"死斗","无法自由移动，受到伤害也不会解除",210255,0,0,1,2,17,0,True,False,False,False,False,False,False,False,False,100,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
89,"复仇","受到攻击的伤害减少并且受到物理攻击时会发动反击",210256,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,-30,0,False,0,False,0,False,0,0,0,False,False,False,0
90,"暴风碎","攻击所造成的伤害提高",210263,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,5,0,False,0,False,0,False,0,0,0,False,False,False,0
91,"守护","自身仇恨提高",212551,0,0,1,1,16,0,False,False,False,False,False,False,False,True,True,0,0,False,False,500,0,True,0,False,0,False,0,0,0,False,False,False,0
92,"解脱","抵消守护状态中降低攻击力的负面效果",212552,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
93,"愤怒","招架发动率提高",210257,0,0,1,1,16,7,False,False,False,False,False,False,False,False,False,0,0,False,False,2,0,False,0,False,0,False,0,0,0,False,False,False,0
94,"愤怒II","招架发动率提高",210258,0,0,1,1,16,7,False,False,False,False,False,False,False,False,False,0,0,False,False,4,0,False,0,False,0,False,0,0,0,False,False,False,0
95,"愤怒III","招架发动率提高",210259,0,0,1,1,16,7,False,False,False,False,False,False,False,False,False,0,0,False,False,6,0,False,0,False,0,False,0,0,0,False,False,False,0
96,"愤怒IV","招架发动率提高",210260,0,0,1,1,16,7,False,False,False,False,False,False,False,False,False,0,0,False,False,8,0,False,0,False,0,False,0,0,0,False,False,False,0
97,"愤怒V","招架发动率提高",210261,0,0,1,1,16,7,False,False,False,False,False,False,False,False,False,0,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
98,"双龙脚","打击耐性降低",210215,0,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,0,False,False,-5,0,False,0,False,0,False,0,0,0,False,False,False,0
99,"飘羽步","回避率提高",210201,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
100,"发劲","暴击发动率提高",210204,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
101,"双掌打","攻击所造成的伤害提高",210216,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,5,0,False,0,False,0,False,0,0,0,False,False,False,0
102,"真言","自身所受的治疗效果提高",210206,0,0,41,1,16,0,False,False,False,False,False,False,False,False,False,5,0,False,False,5,0,False,0,False,0,False,0,0,0,False,False,False,0
103,"红莲体势","攻击所造成的伤害提高",210202,29,0,1,1,16,0,False,False,False,False,False,False,False,True,True,0,0,False,False,5,0,True,528,False,0,False,0,0,0,False,False,False,0
104,"金刚体势","减轻所受到的伤害",210203,29,0,1,1,16,0,False,False,False,False,False,False,False,True,True,0,0,False,False,-10,0,True,528,False,0,False,0,0,0,False,False,False,0
105,"疾风体势","移动速度提高",212526,29,0,1,1,16,0,False,False,False,False,False,False,False,True,True,0,0,False,False,0,0,True,528,False,0,False,0,0,0,False,False,False,0
106,"秘孔拳","体力逐渐减少",210211,0,0,1,2,17,0,False,False,False,False,False,False,True,False,False,10,0,False,True,10,0,False,0,False,3,False,0,0,0,False,False,False,0
107,"魔猿身形","摆出魔猿身形",210212,31,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,0,0,True,528,False,0,False,0,0,0,False,False,False,0
108,"盗龙身形","摆出盗龙身形",210213,31,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,0,0,True,528,False,0,False,0,0,0,False,False,False,0
109,"猛豹身形","摆出猛豹身形",210214,31,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,0,0,True,528,False,0,False,0,0,0,False,False,False,0
110,"震脚","能够打出三种身形的所有招式",217564,31,3,1,1,16,0,False,False,False,False,False,False,False,False,False,0,2,False,False,0,27,True,528,False,0,False,0,0,0,False,False,False,0
111,"疾风迅雷","攻击所造成的伤害提高，自动攻击间隔缩短，同时战技与魔法的咏唱及复唱时间也会缩短",210207,32,0,1,1,16,8,False,False,False,False,False,False,False,False,False,0,0,False,False,10,0,True,0,False,0,False,0,0,0,False,False,False,0
112,"疾风迅雷II","攻击所造成的伤害提高，自动攻击间隔缩短，同时战技与魔法的咏唱及复唱时间也会缩短",210208,32,0,1,1,16,9,False,False,False,False,False,False,False,False,False,0,0,False,False,20,0,True,0,False,0,False,0,0,0,False,False,False,0
113,"疾风迅雷III","攻击所造成的伤害提高，自动攻击间隔缩短，同时战技与魔法的咏唱及复唱时间也会缩短",210209,32,0,1,1,16,10,False,False,False,False,False,False,False,False,False,0,0,False,False,30,0,True,0,False,0,False,0,0,0,False,False,False,0
114,"敏锐","招架发动率提高",210301,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,20,0,False,0,False,0,False,0,0,0,False,False,False,0
115,"重刺","攻击所造成的伤害提高",210306,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,5,0,False,0,False,0,False,0,0,0,False,False,False,0
116,"龙剑","下次发动的战技必定打出暴击，并且附带吸收体力的效果
受暴击发动率提高效果影响时，攻击造成的伤害提高",210302,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
117,"舍身","攻击所造成的伤害提高，受到攻击的伤害也会增加",210304,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
118,"樱花怒放","体力逐渐减少",210307,0,0,1,2,17,0,False,False,False,False,False,False,True,False,False,10,0,False,True,10,0,False,0,False,2,False,0,0,0,False,False,False,0
119,"二重刺","体力逐渐减少",210305,0,0,1,2,17,0,False,False,False,False,False,False,True,False,False,10,0,False,True,10,0,False,0,False,2,False,0,0,0,False,False,False,0
120,"龙枪","下次发动跳跃或破碎冲的伤害提高",210303,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
121,"开膛枪","突刺耐性降低",212576,0,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,0,False,False,-5,0,False,0,False,0,False,0,0,0,False,False,False,0
122,"直线射击预备","可以发动直线射击",210365,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,2,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
123,"鹰眼","灵巧有所提高，并且攻击必定会命中",210351,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
124,"毒咬箭","身中剧毒，体力会逐渐减少",210352,0,0,1,2,1,0,False,False,False,False,False,False,True,False,False,10,0,False,True,10,0,False,0,False,2,False,0,0,0,False,False,False,0
125,"猛者强击","攻击造成的伤害提高",210354,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
126,"物理受伤加重","受到物理攻击的伤害增加",218001,36,8,1,2,17,0,False,False,False,False,False,False,False,False,False,100,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
127,"迂回","抑制仇恨上升",213914,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
128,"纷乱箭","可以发动<If(Equal(PlayerParameter(68),23))><If(GreaterThanOrEqualTo(PlayerParameter(72),70))>辉煌箭<Else/>直线射击</If><Else/>直线射击</If>或<If(Equal(PlayerParameter(68),23))><If(GreaterThanOrEqualTo(PlayerParameter(72),72))>影噬箭<Else/>广域群射</If><Else/>广域群射</If>
发动<If(Equal(PlayerParameter(68),23))><If(GreaterThanOrEqualTo(PlayerParameter(72),70))>辉煌箭<Else/>直线射击</If><Else/>直线射击</If>时造成3次伤害，发动<If(Equal(PlayerParameter(68),23))><If(GreaterThanOrEqualTo(PlayerParameter(72),72))>影噬箭<Else/>广域群射</If><Else/>广域群射</If>时威力提升",210356,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,2,False,False,1,0,False,0,False,0,False,0,0,0,False,False,False,0
129,"风蚀箭","风属性持续伤害，体力逐渐流失",210360,0,0,1,2,17,0,False,False,False,False,False,False,True,False,False,10,0,False,True,10,0,False,0,False,2,False,0,0,0,False,False,False,0
130,"直线射击","暴击发动率提高",210361,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,10,0,False,0,False,0,False,0,0,0,False,False,False,0
131,"死亡箭雨效果提高","下次发动死亡箭雨不会消耗技力",212607,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
132,"连珠箭效果提高","下次发动连珠箭不会消耗技力",210362,0,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,False,0
133,"敏捷之歌","移动速度提高，对一定范围内的队友也会附加同样效果进入战斗状态后效果消失",210358,26,0,1,1,16,0,False,False,False,False,False,False,False,True,True,1,0,False,False,0,0,True,0,False,0,False,0,0,0,False,False,False,0
134,"敏捷之歌","移动速度提高，进入战斗状态后效果消失",210357,41,0,1,1,16,0,False,False,False,False,False,False,False,False,True,0,0,False,False,0,0,True,0,False,0,False,0,0,0,False,False,False,0
135,"贤者的叙事谣","对一定范围内的队友附加魔力持续恢复效果，自身攻击所造成的伤害降低，并且会持续消耗魔力",212603,26,0,1,1,16,0,False,False,False,False,False,False,False,True,True,1,0,False,False,-10,0,True,0,False,0,False,0,0,0,False,False,False,0
136,"贤者的叙事谣","魔力持续恢复",212602,0,0,1,1,16,0,False,False,False,False,False,False,False,False,True,0,0,False,False,0,0,True,0,False,0,False,0,0,0,False,False,False,0
137,"军神的赞美歌","对一定范围内的队友附加技力持续恢复效果，自身攻击所造成的伤害降低，并且会持续消耗魔力",212605,26,0,1,1,16,0,False,False,False,False,False,False,False,True,True,1,0,False,False,-10,0,True,0,False,0,False,0,0,0,False,False,False,0
138,"军神的赞美歌","技力持续恢复",212604,0,0,1,1,16,0,False,False,False,False,False,False,False,False,True,0,0,False,False,0,0,True,0,False,0,False,0,0,0,False,False,False,0
139,"魔人的安魂曲","持续消耗魔力增加周围敌人所受到的伤害",212606,26,0,1,1,16,0,False,False,False,False,False,False,False,True,True,0,0,False,False,-10,0,True,0,False,0,False,0,0,0,False,False,False,0
