key,0,1,2,3
8,70508,70408,"乌尔达哈与希拉狄哈","　　贝拉哈迪亚一分为二，成了对立中的两国乌尔达哈与希拉狄哈。正如历史所述，来生神之泪毁灭了希拉狄哈为两国之争画上了永远的句号。不久之后乌尔达哈就迁都至希拉狄哈旧日都城所在的地方，因此，如今在乌尔达哈王都的周边和地下深处还有大量的希拉狄哈遗迹。建造上下水道时，借用了当时的遗迹，因此得名“希拉狄哈水道”……多么讽刺啊，要知道当年两国大规模战争的导火索正是水源地之争。
　　既然水道借用了希拉狄哈的遗迹，那么会通往另一座遗迹自然不算怪事，但朕没想到竟然能一路通到那座似乎是希拉狄哈王宫的地方。如果这座遗迹当年是暴露在地面上的，大约早被萨纳兰的烈日和风沙吞噬，风化殆尽了。正是恰好被深埋于地下，才让它能像如今这样，仿佛时间都停止了一般，完好地保存下来。
　　平常是很难发现保存得这样好的遗迹的吧。对历史学者来说，那肯定是一座极其重要的调查目标。然而，进入水道通往遗迹的方法实在是令人头大，这样下去恐怕是很难保证每次都能到达那座遗迹的吧。朕现在最先要做的，就是修整前往那里的道路。"
9,70509,70409,"国旗飘扬","　　每当看到希拉狄哈的国旗，就不由得会想起乌尔达哈和希拉狄哈两国的初代国王是一对双胞胎。不过，两国的国旗之所以会如此相似，并不是因为这个原因。回到贝拉哈迪亚时代，国旗上的审理之天平两端安放着的还是圣火和葡萄。后来，乌尔达哈继承了象征力量的圣火，希拉狄哈则传承了象征智慧的葡萄，双方又各自选用了代表财富的宝石和代表力量的头盔平衡天平。两国均高举己方那面与贝拉哈迪亚已一脉相承的国旗，宣称本国作为天命所归的继承者的正当性。
　　虽然两国的国旗都带有“力量”这个要素的象征，但乌尔达哈的力量指的是“魔法”，希拉狄哈的力量指的是“武力”，这二者的性质大有不同。希拉狄哈国旗所描述的“力量”，更像是云集于我国的斗技场的那些剑斗士所拥有的力量。
　　现在回想起来，最后守在那里的那台粗鲁的守护者，正是希拉狄哈的风格。守护它头部的那顶头盔上还装饰着纤细精美的葡萄花样。而且它的身体也是与希拉狄哈白银天平相似的颜色，即使在采光不佳的地底，也反射着炫目的银光。可希拉狄哈早已毁灭了，它却仍在那里，守护着失去了主人的王宫，着实令人心生惋惜。"
10,70510,70410,"母亲的眼瞳","　　可真没想到，连这种常年封闭的地下遗迹都能有盗墓的人闯进来。朕看遍了一路，愣是没找到除了入口以外能进去的地方。当然，考虑到遗迹的构造这么复杂，还有朕没能发现的入口也不算怪事。
　　话又说回来了，关于这些盗墓者留下的涂鸦……朕现在回想起来，觉得他们指的是“娜夏孔雀石”。朕认为，那应该就是前往隐藏之地的钥匙。不过，没想到竟然是娜夏孔雀石，这让朕该如何平静地看待此事呢。
　　为了应对第七灵灾后复兴的需求，而再次开发铜铃铜山……在这个过程中出产的高品质孔雀石，被乌尔达哈的宝石商人命名为“娜夏孔雀石“。母后若是健在倒还好说，母后都离世这么多年了，那群商人竟然还为了利益将宝石冠上母后的名字，这种行为自然让朕深感不快。
　　但让朕没想到的是，当商人们把娜夏孔雀石进献给朕时，朕确实从宝石柔和的微光中看到了母后那双温柔地注视着朕的眼瞳。面对如此美妙的颜色，即使不满，朕也只有接受这个命名了……"
11,70511,70411,"索恩朝的宝库","　　在遗迹里找到的那张纸的背面，朕找到了“希拉狄哈水道”、“索恩朝”、“宝物库”这几个单词的涂鸦。那些盗墓者似乎认为索恩朝的宝库就藏在希拉狄哈水道的某处。然而索恩朝向来以他们清廉节俭的政风而闻名。若不是索恩朝的国王愿意禅位，现在的第二乌尔朝都不会存在。朕从未听说过索恩朝有任何将王室宝物擅自带走藏匿的传闻……假设索恩一族的人真的将财宝藏在了某个地方，他们也定然知会了乌尔一族。若这个设想成立，那就可以假定乌尔家的历代国王都对此知情，而朕的父王当然也对此有所了解。
　　父王将钥匙赠送给朕时曾说过，这把钥匙能打开保管了乌尔达哈重要回忆的宝库。并且，父王希望能在朕长大之后，将其中的一切展示给朕看……莫非，父王指的就是这个宝库？
　　虽然朕思考了很多，但说到底这些都不过是朕的假设。至少这次探访的希拉狄哈王宫遗迹中并没有类似的场所。考虑到父王当时所表述的意思，朕认为这个宝库如今仍藏在一个不为人知的地方。"
12,70512,70412,"父王和母后的信","　　在希拉狄哈水道的深处发现了装满财宝的仓库。保存在其中的目录顶上写有“愿乌尔王室能为了民众与近邻继承这一切”的宣言，落款则是索恩朝末代国王的名字，后续的页面上还有历代国王的签字。这本目录的最后，由朕的父王签名的那一页夹着一张已然褪色的信件。“愿爱女娜娜莫能读到此信”……这封用父王的笔迹写就的信件上留下了如此的字眼。
　　这封信介绍了这座宝库，将这里描述为只有王位继承者才能知道的禁地，并提到了从索恩朝时代保存至今的“人类与蜥蜴人携手共斗的证据”。这本是国王与国王之间代代相传的机密，但父王考虑到自己遭遇不测的可能性，提前写下了这封信有备无患。
　　“娜娜莫，不知你长成了怎样的一位淑女。女王对你来说应该是一条满是坎坷的道路吧。作为父母，我们有一件事希望你能一直记得。在作为一个女王之前，你永远是我们最爱也最骄傲的女儿。我们只希望能在你的脸上看到柔和的粉桃色，在你的口中听到你腼腆的笑声。你能健康快乐，我们就能放心了。”……信的结尾，父王和母后在写完这句话后留下了他们的署名。
　　父王、母后……请你们一定一定放心。朕如今的每一天，包括此刻，都很开心……"
13,0,0,"",""
14,0,0,"",""
15,0,0,"",""
16,0,0,"",""
17,0,0,"",""
18,0,0,"",""
19,0,0,"",""
20,0,0,"",""
21,0,0,"",""
22,0,0,"",""
23,0,0,"",""
24,0,0,"",""
