key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
8,"宇宙飞线内环线　竣工
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>下一项工程尚在计划阶段，请先随意放松一下吧！","宇宙飞线内环线　竣工","宇宙飞线竣工啦！
这下就方便去更远的地方探索了，感谢大家的帮助！","宇宙飞线竣工啦！感谢大家的帮助！","查明威",2,False,158,8,0,241004,1405,18,1,6,0,2,3,0,0,0,0,0,0,0,0,0
9,"居住舱&宇宙港　建设物资准备中
 <UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请积极参加探索任务筹备物资吧！","居住舱&宇宙港　建设物资准备中","我们需要建设居住舱和发射宇宙飞船的宇宙港！
请积极参加探索任务帮忙筹备物资！","我们需要建设居住舱和发射宇宙飞船的宇宙港！一起筹备物资吧！","查明威",2,False,158,9,0,241005,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
10,"居住舱安装工程支援行动　联合工程准备中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请为联合工程的开工做好准备！","居住舱安装工程支援行动　联合工程准备中","建设居住舱的联合工程举办时间确定啦！
到时候请务必要来帮忙呀！","建设居住舱的联合工程举办时间确定啦！到时候一定要来帮忙呀！","查明威",2,False,158,10,0,241005,1451,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
11,"居住舱安装工程支援行动　联合工程进行中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请积极参与其中吧！","居住舱安装工程支援行动　联合工程进行中","建设居住舱的联合工程正在进行中！
请一定要来帮忙呀！","建设居住舱的联合工程正在进行中！请一定要来帮忙呀！","查明威",2,False,158,11,0,241005,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
12,"第一次宇宙港建设工程支援行动　物资准备中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请为联合工程的开工做好准备！","第一次宇宙港建设工程支援行动　物资准备中","建设宇宙港的联合工程举办时间确定啦！
到时候请务必要来帮忙呀！","建设宇宙港的联合工程举办时间确定啦！到时候一定要来帮忙呀！","查明威",3,False,158,12,0,241006,1401,18,2,5,0,2,3,0,0,0,0,0,0,0,0,0
13,"第一次宇宙港建设工程支援行动　联合工程进行中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请积极参与其中吧！","第一次宇宙港建设工程支援行动　联合工程进行中","建设宇宙港的联合工程正在进行中！
请一定要来帮忙呀！","建设宇宙港的联合工程正在进行中！请一定要来帮忙呀！","查明威",3,False,158,12,0,241006,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
14,"居住舱&宇宙港　竣工
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>下一项工程尚在计划阶段，请先随意放松一下吧！","居住舱&宇宙港　竣工","居住舱和宇宙港竣工啦！
越来越有基地的样子了，感谢大家的帮助！","居住舱和宇宙港竣工啦！感谢大家的帮助！","查明威",4,False,158,13,0,241007,1401,18,3,5,0,2,3,0,0,0,0,0,0,0,0,0
15,"第一次机甲库扩建工程　物资准备中
 <UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请积极参加探索任务筹备物资吧！","第一次机甲库扩建工程　物资准备中","我们需要改建机甲库，使其具备更高性能！
请积极参加探索任务帮忙筹备物资！","我们需要改建机甲库，使其具备更高性能！一起筹备物资吧！","查明威",4,False,158,14,0,241008,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
16,"第一次机甲库扩建工程　联合工程准备中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请为联合工程的开工做好准备！","第一次机甲库扩建工程　联合工程准备中","改建机甲库的联合工程举办时间确定啦！
到时候请务必要来帮忙呀！","改建机甲库的联合工程举办时间确定啦！到时候一定要来帮忙呀！","查明威",4,False,158,15,0,241008,1451,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
17,"第一次机甲库扩建工程　联合工程进行中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请积极参与其中吧！","第一次机甲库扩建工程　联合工程进行中","改建机甲库的联合工程正在进行中！
请一定要来帮忙呀！","改建机甲库的联合工程正在进行中！请一定要来帮忙呀！","查明威",4,False,158,16,0,241008,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
18,"二级机甲库　竣工
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>下一项工程尚在计划阶段，请先随意放松一下吧！","二级机甲库　竣工","机甲库改建完毕啦！具备了更高性能！
相信今后机甲一定能发挥更重要的作用，感谢大家的帮助！","机甲库改建完毕啦！具备了更高性能！感谢大家的帮助！","查明威",5,False,158,17,0,241009,1402,18,4,5,0,2,3,0,0,0,0,0,0,0,0,0
19,"第二次宇宙飞线铺设工程　物资准备中
 <UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请积极参加探索任务筹备物资吧！","第二次宇宙飞线铺设工程　物资准备中","我们需要建设宇宙飞线西北线！
请积极参加探索任务帮忙筹备物资！","我们需要建设宇宙飞线西北线！一起筹备物资吧！","查明威",5,False,158,18,0,241010,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
20,"第二次宇宙飞线铺设工程　施工中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请静待宇宙飞线铺设完成！","第二次宇宙飞线铺设工程　施工中","宇宙飞线西北线的竣工时间确定啦！
竣工之后整体环境将会变得更加便利，请再耐心等待一下！","宇宙飞线西北线的竣工时间确定啦！","查明威",5,False,158,18,0,241010,1452,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
21,"宇宙飞线西北线　竣工
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>下一项工程尚在计划阶段，请先随意放松一下吧！","宇宙飞线西北线　竣工","宇宙飞线西北线竣工啦！
相信今后对于西北方的探索会更进一步，感谢大家的帮助！","宇宙飞线西北线竣工啦！感谢大家的帮助！","查明威",6,False,158,19,0,241011,1407,18,5,6,0,2,3,0,0,0,0,0,0,0,0,0
22,"第三次宇宙飞线铺设工程　物资准备中
 <UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请积极参加探索任务筹备物资吧！","第三次宇宙飞线铺设工程　物资准备中","我们需要建设宇宙飞线东南线！
请积极参加探索任务帮忙筹备物资！","我们需要建设宇宙飞线东南线！一起筹备物资吧！","查明威",6,False,158,20,0,241012,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
23,"第三次宇宙飞线铺设工程　施工中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请静待宇宙飞线铺设完成！","第三次宇宙飞线铺设工程　施工中","宇宙飞线东南线的竣工时间确定啦！
竣工之后整体环境将会变得更加便利，请再耐心等待一下！","宇宙飞线东南线的竣工时间确定啦！","查明威",6,False,158,20,0,241012,1452,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
24,"宇宙飞线东南线　竣工
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>下一项工程尚在计划阶段，请先随意放松一下吧！","宇宙飞线东南线　竣工","宇宙飞线东南线竣工啦！
相信今后对于东南方的探索会更进一步，感谢大家的帮助！","宇宙飞线东南线竣工啦！感谢大家的帮助！","查明威",7,False,158,21,0,241013,1409,18,6,6,0,2,3,4,6,7,0,0,0,0,0,0
25,"隧道贯通工程施工　物资准备中
 <UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请积极参加探索任务筹备物资吧！","隧道贯通工程施工　物资准备中","我们需要开通穿山隧道！
请积极参加探索任务帮忙筹备物资！","我们需要开通穿山隧道！一起筹备物资吧！","查明威",7,False,158,22,0,241014,0,0,0,0,0,2,3,4,6,7,0,0,0,0,0,0
26,"第一次隧道贯通工程施工　联合工程准备中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请为联合工程的开工做好准备！","第一次隧道贯通工程施工　联合工程准备中","开通隧道的第一次联合工程举办时间确定啦！
到时候请务必要来帮忙呀！","开通隧道的第一次联合工程举办时间确定啦！到时候一定要来帮忙呀！","查明威",7,False,158,23,0,241014,1451,0,0,0,0,2,3,4,6,7,0,0,0,0,0,0
27,"第一次隧道贯通工程施工　联合工程进行中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请积极参与其中吧！","第一次隧道贯通工程施工　联合工程进行中","开通隧道的第一次联合工程正在进行中！
请一定要来帮忙呀！","开通隧道的第一次联合工程正在进行中！请一定要来帮忙呀！","查明威",7,False,158,24,0,241014,0,0,0,0,0,2,3,4,6,7,0,0,0,0,0,0
28,"第二次隧道贯通工程施工　联合工程准备中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请为联合工程的开工做好准备！","第二次隧道贯通工程施工　联合工程准备中","开通隧道的第二次联合工程举办时间确定啦！
到时候请务必要来帮忙呀！","开通隧道的第二次联合工程举办时间确定啦！到时候一定要来帮忙呀！","查明威",8,False,158,25,0,241015,1401,18,7,5,0,2,3,4,6,7,0,0,0,0,0,0
29,"第二次隧道贯通工程施工　联合工程进行中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请积极参与其中吧！","第二次隧道贯通工程施工　联合工程进行中","开通隧道的第二次联合工程正在进行中！
请一定要来帮忙呀！","开通隧道的第二次联合工程正在进行中！请一定要来帮忙呀！","查明威",8,False,158,25,0,241015,0,0,0,0,0,2,3,4,6,7,0,0,0,0,0,0
30,"穿行威隧道　竣工
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>下一项工程尚在计划阶段，请先随意放松一下吧！","穿行威隧道　竣工","穿行威隧道顺利开通啦！
相信今后对于隧道深处的探索会更进一步，感谢大家的帮助！","穿行威隧道顺利开通啦！感谢大家的帮助！","查明威",9,False,158,26,0,241016,1408,18,8,6,0,2,3,4,6,7,0,0,0,0,0,0
31,"第四次宇宙飞线铺设工程　物资准备中
 <UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请积极参加探索任务筹备物资吧！","第四次宇宙飞线铺设工程　物资准备中","我们需要在隧道的另一边铺设宇宙飞线！
请积极参加探索任务帮忙筹备物资！","我们需要在隧道的另一边铺设宇宙飞线！一起筹备物资吧！","查明威",9,False,158,27,0,241017,0,0,0,0,0,2,3,4,6,7,0,0,0,0,0,0
32,"第四次宇宙飞线铺设工程　施工中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请静待宇宙飞线铺设完成！","第四次宇宙飞线铺设工程　施工中","宇宙飞线西南线的竣工时间确定啦！
竣工之后整体环境将会变得更加便利，请再耐心等待一下！","宇宙飞线西南线的竣工时间确定啦！","查明威",9,False,158,27,0,241017,1452,0,0,0,0,2,3,4,6,7,0,0,0,0,0,0
33,"宇宙飞线西南线　竣工
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>下一项工程尚在计划阶段，请先随意放松一下吧！","宇宙飞线西南线　竣工","宇宙飞线西南线竣工啦！
相信今后的探索会更进一步，感谢大家的帮助！","宇宙飞线西南线竣工啦！感谢大家的帮助！","查明威",10,False,158,28,0,241018,1412,18,9,6,0,2,3,4,6,7,8,0,0,0,0,0
34,"第二次基地扩建工程　物资准备中
 <UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请积极参加探索任务筹备物资吧！","第二次基地扩建工程　物资准备中","我们需要再次扩建月门基地！
请积极参加探索任务帮忙筹备物资！","我们需要再次扩建月门基地！一起筹备物资吧！","查明威",10,False,158,29,0,241019,0,0,0,0,0,2,3,4,6,7,8,0,0,0,0,0
35,"第二次基地扩建工程　联合工程准备中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请为联合工程的开工做好准备！","第二次基地扩建工程　联合工程准备中","再次扩建月门基地的联合工程举办时间确定啦！
到时候请务必要来帮忙呀！","再次扩建月门基地的联合工程举办时间确定啦！到时候一定要来帮忙呀！","查明威",10,False,158,30,0,241019,1451,0,0,0,0,2,3,4,6,7,8,0,0,0,0,0
36,"第二次基地扩建工程　联合工程进行中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请积极参与其中吧！","第二次基地扩建工程　联合工程进行中","再次扩建月门基地的联合工程正在进行中！
请一定要来帮忙呀！","再次扩建月门基地的联合工程正在进行中！请一定要来帮忙呀！","查明威",10,False,158,31,0,241019,0,0,0,0,0,2,3,4,6,7,8,0,0,0,0,0
37,"月门基地：三级基地　竣工
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>下一项工程尚在计划阶段，请先随意放松一下吧！","月门基地：三级基地　竣工","月门基地扩建完毕啦！这次的成果更棒！
相信今后的探索活动会更进一步，感谢大家的帮助！","月门基地扩建完毕啦！这次的成果更棒！感谢大家的帮助！","查明威",11,False,158,32,0,241020,1410,18,10,6,1,2,3,5,6,7,8,0,0,0,0,0
38,"发电站&供水站　建设物资准备中
 <UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请积极参加探索任务筹备物资吧！","发电站&供水站　建设物资准备中","我们需要建设发电站和供水站！
请积极参加探索任务帮忙筹备物资！","我们需要建设发电站和供水站！一起筹备物资吧！","查明威",11,False,158,33,0,241021,0,0,0,0,1,2,3,5,6,7,8,0,0,0,0,0
39,"能源设施扩建工程支援行动　联合工程准备中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请为联合工程的开工做好准备！","能源设施扩建工程支援行动　联合工程准备中","建设发电站的联合工程举办时间确定啦！
到时候请务必要来帮忙呀！","建设发电站的联合工程举办时间确定啦！到时候一定要来帮忙呀！","查明威",11,False,158,34,0,241021,1451,0,0,0,1,2,3,5,6,7,8,0,0,0,0,0
40,"能源设施扩建工程支援行动　联合工程进行中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请积极参与其中吧！","能源设施扩建工程支援行动　联合工程进行中","建设发电站的联合工程正在进行中！
请一定要来帮忙呀！","建设发电站的联合工程正在进行中！请一定要来帮忙呀！","查明威",11,False,158,35,0,241021,0,0,0,0,1,2,3,5,6,7,8,0,0,0,0,0
41,"供水设施扩建工程支援行动　联合工程准备中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请为联合工程的开工做好准备！","供水设施扩建工程支援行动　联合工程准备中","建设供水站的联合工程举办时间确定啦！
到时候请务必要来帮忙呀！","建设供水站的联合工程举办时间确定啦！到时候一定要来帮忙呀！","查明威",12,False,158,36,0,241022,1401,18,11,5,1,2,3,5,6,7,8,0,0,0,0,0
42,"供水设施扩建工程支援行动　联合工程进行中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请积极参与其中吧！","供水设施扩建工程支援行动　联合工程进行中","建设供水站的联合工程正在进行中！
请一定要来帮忙呀！","建设供水站的联合工程正在进行中！请一定要来帮忙呀！","查明威",12,False,158,36,0,241022,0,0,0,0,1,2,3,5,6,7,8,0,0,0,0,0
43,"发电站&供水站　竣工
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>下一项工程尚在计划阶段，请先随意放松一下吧！","发电站&供水站　竣工","发电站和供水站竣工啦！
这下就暂时不用担心能量和供水的问题了，感谢大家的帮助！","发电站和供水站竣工啦！感谢大家的帮助！","查明威",13,False,158,37,0,241023,1401,18,12,5,1,2,3,5,6,7,8,0,0,0,0,0
44,"二级机甲库&宇宙港　改建物资准备中
 <UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请积极参加探索任务筹备物资吧！","二级机甲库&宇宙港　改建物资准备中","我们需要改建机甲库和宇宙港，使其具备更高性能！
请积极参加探索任务帮忙筹备物资！","我们需要改建机甲库和宇宙港，使其具备更高性能！一起筹备物资吧！","查明威",13,False,158,38,0,241024,0,0,0,0,1,2,3,5,6,7,8,0,0,0,0,0
45,"第二次机甲库扩建工程　联合工程准备中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请为联合工程的开工做好准备！","第二次机甲库扩建工程　联合工程准备中","改建机甲库的联合工程举办时间确定啦！
到时候请务必要来帮忙呀！","改建机甲库的联合工程举办时间确定啦！到时候一定要来帮忙呀！","查明威",13,False,158,39,0,241024,1451,0,0,0,1,2,3,5,6,7,8,0,0,0,0,0
46,"第二次机甲库扩建工程　联合工程进行中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请积极参与其中吧！","第二次机甲库扩建工程　联合工程进行中","改建机甲库的联合工程正在进行中！
请一定要来帮忙呀！","改建机甲库的联合工程正在进行中！请一定要来帮忙呀！","查明威",13,False,158,40,0,241024,0,0,0,0,1,2,3,5,6,7,8,0,0,0,0,0
47,"第二次宇宙港建设工程支援行动　联合工程准备中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请为联合工程的开工做好准备！","第二次宇宙港建设工程支援行动　联合工程准备中","改建宇宙港的联合工程举办时间确定啦！
到时候请务必要来帮忙呀！","改建宇宙港的联合工程举办时间确定啦！到时候一定要来帮忙呀！","查明威",14,False,158,41,0,241025,1402,18,13,5,1,2,3,5,6,7,8,0,0,0,0,0
48,"第二次宇宙港建设工程支援行动　联合工程进行中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请积极参与其中吧！","第二次宇宙港建设工程支援行动　联合工程进行中","改建宇宙港的联合工程正在进行中！
请一定要来帮忙呀！","改建宇宙港的联合工程正在进行中！请一定要来帮忙呀！","查明威",14,False,158,41,0,241025,0,0,0,0,1,2,3,5,6,7,8,0,0,0,0,0
49,"三级机甲库&二级宇宙港　竣工
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>下一项工程尚在计划阶段，请先随意放松一下吧！","三级机甲库&二级宇宙港　竣工","机甲库和宇宙港改建完毕啦！具备了更高性能！
相信今后探索活动将会更进一步，感谢大家的帮助！","机甲库和宇宙港改建完毕啦！具备了更高性能！感谢大家的帮助！","查明威",15,False,158,42,0,241026,1402,18,14,5,1,2,3,5,6,7,8,0,0,0,0,0
50,"升降梯建设用地整备工程　物资准备中
 <UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请积极参加探索任务筹备物资吧！","升降梯建设用地整备工程　物资准备中","我们需要开通前往月底的升降梯！
请积极参加探索任务帮忙筹备物资！","我们需要开通前往月底的升降梯！一起筹备物资吧！","查明威",15,False,158,43,0,241027,0,0,0,0,1,2,3,5,6,7,8,0,0,0,0,0
51,"第一次升降梯建设用地整备工程　联合工程准备中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请为联合工程的开工做好准备！","第一次升降梯建设用地整备工程　联合工程准备中","开通月底升降梯的第一次联合工程举办时间确定啦！
到时候请务必要来帮忙呀！","开通月底升降梯的第一次联合工程举办时间确定啦！到时候一定要来帮忙呀！","查明威",15,False,158,44,0,241027,1451,0,0,0,1,2,3,5,6,7,8,0,0,0,0,0
52,"第一次升降梯建设用地整备工程　联合工程进行中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请积极参与其中吧！","第一次升降梯建设用地整备工程　联合工程进行中","开通月底升降梯的第一次联合工程正在进行中！
请一定要来帮忙呀！","开通月底升降梯的第一次联合工程正在进行中！请一定要来帮忙呀！","查明威",15,False,158,45,0,241027,0,0,0,0,1,2,3,5,6,7,8,0,0,0,0,0
53,"第二次升降梯建设用地整备工程　联合工程准备中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请为联合工程的开工做好准备！","第二次升降梯建设用地整备工程　联合工程准备中","开通月底升降梯的第二次联合工程举办时间确定啦！
到时候请务必要来帮忙呀！","开通月底升降梯的第二次联合工程举办时间确定啦！到时候一定要来帮忙呀！","查明威",16,False,158,46,0,241028,1401,18,15,5,1,2,3,5,6,7,8,0,0,0,0,0
54,"第二次升降梯建设用地整备工程　联合工程进行中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请积极参与其中吧！","第二次升降梯建设用地整备工程　联合工程进行中","开通月底升降梯的第二次联合工程正在进行中！
请一定要来帮忙呀！","开通月底升降梯的第二次联合工程正在进行中！请一定要来帮忙呀！","查明威",16,False,158,46,0,241028,0,0,0,0,1,2,3,5,6,7,8,0,0,0,0,0
55,"月底升降梯　竣工
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>下一项工程尚在计划阶段，请先随意放松一下吧！","月底升降梯　竣工","月底升降梯竣工啦！
相信今后对于地底空间的探索将会更进一步，感谢大家的帮助！","月底升降梯竣工啦！感谢大家的帮助！","查明威",17,False,158,47,0,241029,1411,18,16,6,1,2,3,5,6,7,8,0,0,0,0,0
56,"第五次宇宙飞线铺设工程　物资准备中
 <UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请积极参加探索任务筹备物资吧！","第五次宇宙飞线铺设工程　物资准备中","我们需要建设宇宙飞线地底线！
请积极参加探索任务帮忙筹备物资！","我们需要建设宇宙飞线地底线！一起筹备物资吧！","查明威",17,False,158,48,0,241030,0,0,0,0,1,2,3,5,6,7,8,0,0,0,0,0
57,"第五次宇宙飞线铺设工程　施工中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请静待宇宙飞线铺设完成！","第五次宇宙飞线铺设工程　施工中","宇宙飞线地底线的竣工时间确定啦！
竣工之后整体环境将会变得更加便利，请再耐心等待一下！","宇宙飞线地底线的竣工时间确定啦！","查明威",17,False,158,48,0,241030,1452,0,0,0,1,2,3,5,6,7,8,0,0,0,0,0
58,"宇宙飞线地底线　竣工
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>下一项工程尚在计划阶段，请先随意放松一下吧！","宇宙飞线地底线　竣工","宇宙飞线地底线竣工啦！
相信今后的探索会更进一步，感谢大家的帮助！","宇宙飞线地底线竣工啦！感谢大家的帮助！","查明威",18,False,158,49,0,241031,1404,18,17,6,1,2,3,5,6,7,8,9,0,0,0,0
59,"基地综合设施扩建工程　物资准备中
 <UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请积极参加探索任务筹备物资吧！","基地综合设施扩建工程　物资准备中","我们需要大幅扩建月门基地！
请积极参加探索任务帮忙筹备物资！","我们需要大幅扩建月门基地！一起筹备物资吧！","查明威",18,False,158,50,0,241032,0,0,0,0,1,2,3,5,6,7,8,9,0,0,0,0
60,"基地综合设施扩建工程　联合工程准备中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请为联合工程的开工做好准备！","基地综合设施扩建工程　联合工程准备中","大幅扩建月门基地的联合工程举办时间确定啦！
到时候请务必要来帮忙呀！","大幅扩建月门基地的联合工程举办时间确定啦！到时候一定要来帮忙呀！","查明威",18,False,158,51,0,241032,1451,0,0,0,1,2,3,5,6,7,8,9,0,0,0,0
61,"基地综合设施扩建工程　联合工程进行中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请积极参与其中吧！","基地综合设施扩建工程　联合工程进行中","大幅扩建月门基地的联合工程正在进行中！
请一定要来帮忙呀！","大幅扩建月门基地的联合工程正在进行中！请一定要来帮忙呀！","查明威",18,False,158,52,0,241032,0,0,0,0,1,2,3,5,6,7,8,9,0,0,0,0
62,"月门基地：月上跳跳城　竣工
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>遐想漫天星空，自由度过当下的时光吧！","月门基地：月上跳跳城　竣工","月门基地扩建完毕啦！
这下基地变得好气派啊，感谢大家的帮助！","月门基地扩建完毕啦！感谢大家的帮助！","查明威",19,False,158,53,0,241033,1403,18,18,6,1,2,3,5,6,7,8,9,0,0,0,0
63,"月面基地整备计划　圆满完成
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>遐想漫天星空，自由度过当下的时光吧！","月面基地整备计划　圆满完成","在大家的辛勤工作下，月球上的所有设施都建设完毕啦！
一想到接下来将要踏上的全新旅程，内心就激动不已！","在大家的辛勤工作下，月球上的所有设施都建设完毕啦！太感谢各位啦！","查明威",19,False,158,54,0,241034,0,0,0,0,1,2,3,5,6,7,8,9,0,0,0,0
