key,0,1,2,3,4
130,161,99,1,2251,"第七星历编年史：四圣兽奇谭"
131,162,100,109,2340,"开拓无人岛1"
132,163,101,110,2341,"开拓无人岛2"
133,164,102,111,3245,"第6赛季水晶冲突：王者"
134,165,103,112,3246,"第6赛季水晶冲突：勇者"
135,166,104,113,3247,"第6赛季水晶冲突：获奖者"
136,167,105,114,3248,"第6赛季水晶冲突：水晶"
137,168,106,115,3249,"第6赛季水晶冲突：钻石"
138,169,107,116,3250,"第6赛季水晶冲突：白金"
139,170,108,117,3251,"第6赛季水晶冲突：黄金"
140,171,109,118,3252,"第6赛季水晶冲突：白银"
141,172,110,119,3253,"第6赛季水晶冲突：青铜"
142,173,111,120,3254,"第7赛季水晶冲突：王者"
143,174,112,121,3255,"第7赛季水晶冲突：勇者"
144,175,113,122,3256,"第7赛季水晶冲突：获奖者"
145,176,114,123,3257,"第7赛季水晶冲突：水晶"
146,177,115,124,3258,"第7赛季水晶冲突：钻石"
147,178,116,125,3259,"第7赛季水晶冲突：白金"
148,179,117,126,3260,"第7赛季水晶冲突：黄金"
149,180,118,127,3261,"第7赛季水晶冲突：白银"
150,181,119,128,3262,"第7赛季水晶冲突：青铜"
151,182,120,129,3006,"东方荒魂"
152,183,121,130,3007,"东方和魂"
153,184,1,131,2300,"友好部族任务：甲人族"
154,185,1,132,2301,"友好部族任务：阿难陀族"
155,186,1,133,2302,"友好部族任务：鲶鱼精族"
156,71,122,134,2019,"青魔法师（简易）"
157,187,122,134,2069,"青魔法师（华丽）"
158,0,0,0,0,""
159,0,0,0,0,""
160,190,124,136,2401,"多变迷宫：六根山"
161,191,125,137,2342,"海钓爱好者"
162,192,126,138,2343,"愿者上钩"
163,193,127,139,2350,"运筹帷幄"
164,0,0,0,0,""
165,0,0,0,0,""
166,0,0,0,0,""
167,0,0,0,0,""
168,0,0,0,0,""
169,0,0,0,0,""
170,0,0,0,0,""
171,0,0,0,0,""
172,0,0,0,0,""
173,0,0,0,0,""
174,0,0,0,0,""
175,0,0,0,0,""
176,0,0,0,0,""
177,0,0,0,0,""
178,0,0,0,0,""
179,0,0,0,0,""
180,0,0,0,0,""
